No,Nombre Generico (principio activo / composicion),Concentracion maxima,Forma Farmaceutica,Observaciones / Recomendaciones
54,AMBROXOL CLORHIDRATO,30 mg / 5 mL,SOLUCION ORAL / JARABE,No administrar a ninos menores de 2 anos. Si los sintomas persisten despues de 5 dias se debe acudir al medico o a la unidad de salud mas cercana.
55,AMBROXOL CLORHIDRATO,7.5 mg / mL,SOLUCION ORAL GOTAS,No administrar a ninos menores de 2 anos. Si los sintomas persisten despues de 5 dias se debe acudir al medico o a la unidad de salud mas cercana.
56,AMBROXOL CLORHIDRATO,75 mg,CAPSULA DE LIBERACION PROLONGADA,No administrar a ninos menores de 2 anos. Si los sintomas persisten despues de 5 dias se debe acudir al medico o a la unidad de salud mas cercana.
57,AZUFRE,10 g / 100 g,JABON,No ingerir. Suspender si produce irritacion.
58,BENZALCONIO CLORURO,10 g / 100 g,PASTA JABON,No ingerir. Si los sintomas persisten consultar a su medico.
59,BENZALCONIO CLORURO,0.5 g / 100 mL,SOLUCION TOPICA,No ingerir. Solo para uso externo.
60,BENZOCAINA,20 mg / mL,SOLUCION OTICA,No aplicar en sospecha de infeccion o si hay secreciones a traves del oido. Si los sintomas persisten consultar a su medico.
61,BENZOCAINA + CLORURO DE DECUALINIO,10 mg + 0.25 mg,PASTILLA,No superar la dosis recomendada. Si los sintomas persisten consultar a su medico.
62,BENZOCAINA + CLORHEXIDINA DIHIDROCLORURO,2 mg + 5 mg,TABLETA / COMPRIMIDOS MASTICABLES,No superar la dosis recomendada.
63,BENZOCAINA + TRICLOSAN,0.500 g + 0.200 g / 100 mL,LOCION TOPICA,No ingerir. No superar la dosis recomendada.
64,BICARBONATO DE SODIO,2.3 g / 5 g,POLVO EFERVESCENTE PARA SOLUCION ORAL,No superar la dosis recomendada.
65,BICARBONATO DE SODIO + ALGINATO DE SODIO,125 mg + 133.5 mg / 5 mL,SUSPENSION ORAL,No superar la dosis recomendada.
66,BICARBONATO DE SODIO + SULFATO DE MAGNESIO,2.3 g + 0.9 g / 5 g,POLVO EFERVESCENTE PARA SOLUCION ORAL,No superar la dosis recomendada.
67,BICARBONATO DE SODIO + ACIDO CITRICO + CARBONATO SODICO,2.3 g + 2.19 g + 0.45 g / 5 g,POLVO EFERVESCENTE PARA SOLUCION ORAL,No superar la dosis recomendada.
68,BROMHEXINA CLORHIDRATO,8 mg,TABLETA / COMPRIMIDO / CAPSULAS BLANDAS,No usar en menores de 2 anos. Si los sintomas persisten consultar a su medico.
69,BROMHEXINA CLORHIDRATO,8 mg / 5 mL,JARABE,No usar en menores de 2 anos. Si los sintomas persisten consultar a su medico.
70,CALAMINA,[ILEGIBLE - celda tachada en el origen],LOCION,No ingerir. No superar la dosis recomendada.
71,CALAMINA + DIFENHIDRAMINA,[ILEGIBLE - celda tachada en el origen],LOCION,No ingerir. No superar la dosis recomendada.
72,CALAMINA + OXIDO DE ZINC,[ILEGIBLE - celda tachada en el origen],LOCION,No ingerir. No superar la dosis recomendada.
73,CALAMINA + OXIDO DE ZINC + DIFENHIDRAMINA,[ILEGIBLE - celda tachada en el origen],LOCION,No ingerir. No superar la dosis recomendada.
74,CALCIO GLUCONATO,600 mg,TABLETA / COMPRIMIDOS MASTICABLES,No usar si hay problemas renales o cardiacos.
75,CALCIO CARBONATO,90 g / 100 g,POLVO,"No superar la dosis recomendada, no usar en problemas renales sin autorizacion medica."
76,CARBOMER,2.50 mg/g,GEL OFTALMICO,No superar la dosis recomendada.
77,CARBOMERO + MANITOL,0.150 g + 4.600 g / g,GEL OFTALMICO,No superar la dosis recomendada.
78,CARBONATO DE CALCIO + VITAMINA D3,1500 mg + 400 UI,TABLETA / COMPRIMIDO / CAPLETAS / CAPSULAS,No usar si hay problemas renales o cardiacos.
79,CARBONATO DE CALCIO,1500 mg,TABLETA / COMPRIMIDO / CAPLETAS / CAPSULAS,No usar si hay problemas renales o cardiacos.
80,CETIRIZINA DICLORHIDRATO,10 mg,CAPSULA / TABLETA / COMPRIMIDOS / CAPLETAS,Precaucion al usarse conjuntamente con alcohol. No usar en ninos menores de 6 anos. Si los sintomas persisten consultar a su medico.
81,CETIRIZINA DICLORHIDRATO,5 mg / 5 mL,JARABE,No usar en ninos menores de 6 anos. Si los sintomas persisten consultar a su medico.
82,CITRATO DE CALCIO,1500 mg,TABLETA / COMPRIMIDO / CAPLETAS / CAPSULAS,No usar si hay problemas renales o cardiacos.
83,CITRATO DE CALCIO + VITAMINA D3,1500 mg + 400 UI,TABLETA / COMPRIMIDO / CAPLETAS / CAPSULAS,No usar si hay problemas renales o cardiacos.
84,CITRATO POTASICO,1080 mg,TABLETA / COMPRIMIDO DE LIBERACION PROLONGADA,No superar la dosis recomendada. No usar con problemas renales o cardiacos sin prescripcion medica.
85,CLONIXINATO DE LISINA,125 mg,CAPSULA / TABLETA / COMPRIMIDOS,No usar en menores de 18 anos. No superar la dosis recomendada.
86,CLORURO DE OXIBUPROCAINA + CLORURO DE CETILPIRIDINO,0.20000 mg + 1.00000 mg,TABLETA / COMPRIMIDO,No superar la dosis recomendada. Si los sintomas persisten consultar a su medico.
87,CLORURO DE SODIO,70 mg / mL,SOLUCION NASAL / SOLUCION SPRAY NASAL / SOLUCION PARA INHALACION,En caso de sospecha de infeccion o si los sintomas persisten luego de 48 horas acudir al medico.
88,CLOTRIMAZOL,2 g / 100 g,CREMA TOPICA / GEL,Si los sintomas persisten consultar a su medico. Evitar el contacto del producto con ojos y mucosas. No ingerir.
89,CLOTRIMAZOL,500 mg,OVULO VAGINAL / TABLETA / COMPRIMIDO VAGINAL,"Se debe consultar a un medico si los sintomas durante el tratamiento se mantienen despues de 3 dias o se observa aumento del flujo vaginal o cambios en su aspecto u olor, o sangrado."
90,CLOTRIMAZOL,1 g / 100 mL,SOLUCION DE USO TOPICO / SOLUCION ATOMIZADORA,Si los sintomas persisten consultar a su medico. Evitar el contacto del producto con ojos y mucosas. No ingerir.
91,CLOTRIMAZOL,2 g / 100 g,JABON PASTA,Si los sintomas persisten consultar a su medico. Evitar el contacto del producto con ojos y mucosas. No ingerir.
92,CLOTRIMAZOL,2 g / 100 g (2%),CREMA VAGINAL / GEL,"Se debe consultar a un medico si los sintomas durante el tratamiento se mantienen despues de 3 dias o se observa aumento del flujo vaginal o cambios en su aspecto u olor, o sangrado."
93,CLOTRIMAZOL COMBINADO CON: PARACLOROXILENOL + DIFENHIDRAMINA + VITAMINA A + VITAMINA D3 + AVENA,Hasta concentracion maxima del 1% para el Clotrimazol,JABON PASTA,Si los sintomas persisten consultar a su medico. Evitar el contacto del producto con ojos y mucosas. No ingerir.
94,DEXTROMETORFAN,15 mg / 5 mL,JARABE,"No utilizar este medicamento en caso de tos persistente o cronica, como la debida al tabaco, ya que puede deteriorar la expectoracion y aumentar asi la resistencia de las vias respiratorias. No usar de manera prolongada. No usar en ninos menores de 12 anos salvo que sea indicado por un medico. Si los sintomas persisten consulte a su medico."
95,DEXTROMETORFANO,30 mg,TABLETAS / COMPRIMIDOS,"No utilizar este medicamento en caso de tos persistente o cronica, como la debida al tabaco, ya que puede deteriorar la expectoracion y aumentar asi la resistencia de las vias respiratorias. No usar de manera prolongada. No usar en ninos menores de 12 anos salvo que sea indicado por un medico. Si los sintomas persisten consulte a su medico."
96,DEXTROMETORFANO + GUAIFENESINA,30 mg + 200 mg,CAPLETA,"No utilizar este medicamento en caso de tos persistente o cronica, como la debida al tabaco, ya que puede deteriorar la expectoracion y aumentar asi la resistencia de las vias respiratorias. No usar de manera prolongada. No usar en ninos menores de 12 anos salvo que sea indicado por un medico."
97,DEXTROMETORFANO BROMHIDRATO + CLORFENIRAMINA MALEATO,30 mg + 4 mg,TABLETA / COMPRIMIDO,"No utilizar este medicamento en caso de tos persistente o cronica, como la debida al tabaco, ya que puede deteriorar la expectoracion y aumentar asi la resistencia de las vias respiratorias. No usar de manera prolongada. No usar en ninos menores de 12 anos salvo que sea indicado por un medico. Si despues de 3 dias persisten los sintomas o empeoran acudir a un medico. Si los sintomas persisten consulte a su medico."
98,DEXTROMETORFANO BROMHIDRATO + MIEL DE ABEJA + CLORFENIRAMINA,15 mg + 350 mg + 5 mg / 5 mL,JARABE,"No utilizar este medicamento en caso de tos persistente o cronica, como la debida al tabaco, ya que puede deteriorar la expectoracion y aumentar asi la resistencia de las vias respiratorias. No usar de manera prolongada. No usar en ninos menores de 12 anos salvo que sea indicado por un medico."
99,DICLOFENAC DIETILAMONIO,1 g / 100 g,GEL TOPICO,Solo uso topico. Si sintomas persisten consulte a su medico.
100,DICLOFENAC SODICO,1 g / 100 g,GEL TOPICO,Solo uso topico. Si los sintomas persisten consulte a su medico.
101,DIFENHIDRAMINA,50 mg,TABLETA / COMPRIMIDO,"Produce sedacion, tomar antes de dormir, no debera ser administrada durante un periodo superior a 7 dias, ni a menores de 12 anos. Si los sintomas persisten consultar a su medico."
102,DIFENHIDRAMINA,12.5 mg / 5 mL,JARABE / SOLUCION ORAL,"Produce sedacion, tomar antes de dormir, no debera ser administrada durante un periodo superior a 7 dias, ni a menores de 12 anos. Si los sintomas persisten consultar a su medico."
103,DIFENHIDRAMINA CLORHIDRATO + CLORHIDRATO DE FENILEFRINA,12.50 mg + 5 mg / 5 mL,JARABE,Produce sedacion. No administrar a ninos menores de 12 anos. Por la fenilefrina usar con precaucion en hipertensos y cardiopatas. Si los sintomas persisten consultar a su medico.
104,DIGLUCONATO DE CLORHEXIDINA,20 %,GEL,Solo uso topico. Si los sintomas persisten consultar a su medico.
105,DIMENHIDRINATO,50 mg,TABLETA / COMPRIMIDO,No debe utilizarse en ninos menores de 2 anos. Puede producir sueno. Si los sintomas persisten consultar a su medico.
106,DIMENHIDRINATO,25 mg,SUPOSITORIO,No debe utilizarse en ninos menores de 2 anos. Puede producir sueno. Si los sintomas persisten consultar a su medico.
107,DIMENHIDRINATO,15 mg / 5 mL,JARABE / SOLUCION ORAL,No debe utilizarse en ninos menores de 2 anos. Puede producir sueno. Si los sintomas persisten consultar a su medico.
108,ESPORAS DE BACILLUS CLAUSII,2 Millardos (2 Billones),CAPSULA,No superar la dosis recomendada.
109,ESPORAS DE BACILLUS CLAUSII,2 Billones / 5 mL,SUSPENSION ORAL,No superar la dosis recomendada.
110,EXTRACTO DE CAMOMILA,0.25 mg / mL,SOLUCION OFTALMICA ESTERIL,No superar la dosis recomendada.
111,EXTRACTO DE FLUIDO DE RUIBARBO + ACIDO SALICILICO,50 mg + 10 mg / mL,SOLUCION TOPICA,No superar la dosis recomendada.
112,EXTRACTO DE GINGKO BILOBA,80 mg,TABLETA / COMPRIMIDOS RECUBIERTOS,"No superar la dosis recomendada. No usar conjuntamente acido acetil salicilico o cualquier otro antiplaquetario, para evitar el riesgo de sangrado."
113,EXTRACTO DE HOJA DE HIEDRA DESECADA (HEDERA HELIX),7.0 mg / mL,JARABE,No superar la dosis recomendada.
114,EXTRACTO ESTANDARIZADO DE GINKGO BILOBA,40 mg / mL,SOLUCION GOTAS,"No superar la dosis recomendada. No usar conjuntamente acido acetil salicilico o cualquier otro antiplaquetario, para evitar el riesgo de sangrado."
115,EXTRACTO TITULADO DE CENTELLA ACUATICA,2 g / 100 g,POLVO,No superar la dosis recomendada.
116,EXTRACTO TITULADO DE CENTELLA ACUATICA,2 g / 100 g,CREMA TOPICA,No superar la dosis recomendada.
117,FOSFATO DE CALCIO TRIBASICO,5.0 g / 100 g,GRANULADO,No usar si hay problemas renales o cardiacos.
118,GLICERINA,1.2 g / SUPOSITORIO NINOS,SUPOSITORIO,No usar en menores de dos anos.
119,GLICERINA,2.4 g / SUPOSITORIO ADULTOS,SUPOSITORIO,No usar en menores de dos anos.
120,GLUCONATO FERROSO,300 mg / 10 mL,SOLUCION ORAL,No superar la dosis recomendada.
121,GLUCOSAMINA + SULFATO DE CONDROITINA + METIL SUFONIL METANO,500 mg + 400 mg + 300 mg,TABLETA / COMPRIMIDO,No superar la dosis recomendada.
122,GOTU KOLA,500 mg,CAPSULA,No superar la dosis recomendada.
123,HIDROTALCITA,500 mg,TABLETA / COMPRIMIDOS MASTICABLES,No superar la dosis recomendada.
124,HIDROXIDO DE ALUMINIO + HIDROXIDO DE MAGNESIO + SIMETICONA,520 mg + 480 mg + 40 mg / 5 mL,SUSPENSION ORAL,No administrar en menores de 15 anos. Si luego de tres dias persisten los sintomas se debe acudir a un medico o a la unidad de salud mas cercana. No administrar en personas con estrenimiento.
125,HIDROXIDO DE ALUMINIO + HIDROXIDO DE MAGNESIO + SIMETICONA,520 mg + 480 mg + 40 mg,TABLETA / COMPRIMIDO MASTICABLE,No administrar en menores de 15 anos. Si luego de tres dias persisten los sintomas se debe acudir a un medico o a la unidad de salud mas cercana. No administrar en personas con estrenimiento.
